Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,348.200012,352.809998,347.010010,350.359985,342.469238,2476400
2019-01-15,352.000000,353.320007,347.980011,352.239990,344.306854,2940900
2019-01-16,352.500000,355.000000,351.559998,352.059998,344.130951,2731100
2019-01-17,350.750000,363.829987,350.730011,359.089996,351.002594,4270400
2019-01-18,363.880005,367.320007,361.320007,364.730011,356.515594,4256500
2019-01-22,362.859985,364.200012,354.230011,357.899994,349.839417,4336500
2019-01-23,361.910004,362.200012,353.670013,358.609985,350.533386,2924900
2019-01-24,358.910004,363.179993,356.899994,358.269989,350.201080,2801300
2019-01-25,362.489990,366.940002,360.329987,364.200012,355.997559,3185600
2019-01-28,360.649994,363.170013,357.500000,362.970001,354.795227,3128900
2019-01-29,363.070007,367.779999,362.410004,364.910004,356.691589,3202700
2019-01-30,387.399994,391.970001,380.500000,387.720001,378.987793,12705300
2019-01-31,387.160004,388.989990,382.079987,385.619995,376.935120,6878500
2019-02-01,386.109985,392.799988,384.730011,387.429993,378.704346,5625700
2019-02-04,388.970001,397.070007,388.119995,397.000000,388.058838,4256600
2019-02-05,400.750000,410.750000,399.549988,410.179993,400.941956,7230400
2019-02-06,411.510010,413.880005,405.660004,411.109985,401.850983,5356000
2019-02-07,407.929993,410.350006,402.290009,405.170013,398.034454,5211400
2019-02-08,400.000000,404.959991,397.799988,404.910004,397.779053,4570900
2019-02-11,408.100006,409.829987,402.690002,403.950012,396.835968,3046900
2019-02-12,407.000000,411.209991,405.399994,410.720001,403.486725,3263300
2019-02-13,412.519989,412.720001,407.670013,410.579987,403.349152,3078700
2019-02-14,408.929993,412.220001,407.799988,409.820007,402.602570,2724300
2019-02-15,412.480011,418.049988,411.429993,417.970001,410.609039,4017300
2019-02-19,415.500000,417.940002,414.540009,416.260010,408.929169,3051500
2019-02-20,417.140015,421.839996,417.109985,421.549988,414.125977,3990100
2019-02-21,421.579987,422.410004,415.679993,417.579987,410.225891,2880500
2019-02-22,419.700012,424.470001,419.140015,424.049988,416.581940,3132300
2019-02-25,427.489990,429.920013,426.519989,426.869995,419.352295,3276100
2019-02-26,426.000000,429.000000,424.250000,426.769989,419.254028,2503700
2019-02-27,427.170013,436.329987,427.149994,435.440002,427.771393,4603800
2019-02-28,438.700012,441.420013,437.079987,439.959991,432.211761,5063100
2019-03-01,446.010010,446.010010,440.190002,440.619995,432.860138,5124200
2019-03-04,443.220001,444.500000,426.630005,432.690002,425.069763,5971000
2019-03-05,431.040009,433.850006,428.640015,430.119995,422.545074,2844300
2019-03-06,429.700012,432.000000,422.079987,424.459991,416.984741,4159400
2019-03-07,423.359985,434.350006,416.440002,422.559998,415.118195,4893600
2019-03-08,416.769989,423.429993,415.500000,422.540009,415.098572,3794900
2019-03-11,371.269989,402.670013,365.549988,400.010010,392.965332,34742200
2019-03-12,384.709991,390.000000,368.000000,375.410004,368.798553,36922600
2019-03-13,378.429993,381.769989,363.329987,377.140015,370.498108,32662300
2019-03-14,374.989990,380.390015,372.100006,373.299988,366.725739,13514100
2019-03-15,370.880005,385.709991,366.450012,378.989990,372.315521,26697700
2019-03-18,370.000000,373.070007,367.200012,372.279999,365.723694,13119200
2019-03-19,371.140015,378.769989,371.010010,373.429993,366.853424,9856100
2019-03-20,374.700012,380.799988,373.679993,376.160004,369.535370,8737600
2019-03-21,374.040009,377.000000,372.230011,372.700012,366.136322,6951000
2019-03-22,368.790009,369.859985,361.529999,362.170013,355.791748,10143900
2019-03-25,365.000000,371.209991,362.890015,370.459991,363.935699,7939600
2019-03-26,375.579987,375.600006,367.600006,370.380005,363.857178,6479700
2019-03-27,371.890015,376.660004,365.549988,374.209991,367.619720,9600000
2019-03-28,376.600006,376.660004,372.329987,374.440002,367.845642,4921300
2019-03-29,376.519989,382.179993,374.739990,381.420013,374.702728,7694700
2019-04-01,385.799988,392.899994,383.100006,391.540009,384.644531,7735700
2019-04-02,388.500000,394.829987,388.500000,390.750000,383.868408,6401000
2019-04-03,389.679993,391.540009,384.070007,384.739990,377.964233,7350300
2019-04-04,385.989990,397.059998,385.100006,395.859985,388.888397,9388100
2019-04-05,398.070007,398.660004,390.950012,391.929993,385.027649,6857200
2019-04-08,376.200012,379.799988,371.859985,374.519989,367.924225,14482600
2019-04-09,370.290009,372.239990,367.750000,369.040009,362.540741,7980100
2019-04-10,368.399994,368.790009,362.920013,364.940002,358.512970,8285000
2019-04-11,364.619995,371.079987,364.209991,370.160004,363.641022,6598400
2019-04-12,375.750000,379.950012,372.000000,379.640015,372.954102,7334600
2019-04-15,376.700012,377.899994,373.679993,375.459991,368.847687,3822100
2019-04-16,376.510010,384.640015,375.029999,381.720001,374.997467,7083800
2019-04-17,384.100006,384.190002,377.480011,377.519989,370.871399,4424400
2019-04-18,377.519989,382.170013,377.519989,380.070007,373.376495,4703100
2019-04-22,375.690002,378.950012,374.899994,375.170013,368.562805,4147700
2019-04-23,375.540009,376.869995,372.609985,374.019989,367.433044,4894500
2019-04-24,377.890015,381.149994,373.660004,375.459991,368.847687,9855100
2019-04-25,376.010010,384.799988,372.760010,382.799988,376.058380,6615000
2019-04-26,383.890015,384.000000,378.140015,380.790009,374.083832,4259600
2019-04-29,378.489990,385.299988,376.760010,379.049988,372.374451,5457300
2019-04-30,379.500000,381.140015,375.049988,377.690002,371.038422,3732800
2019-05-01,378.529999,381.200012,376.380005,376.799988,370.164093,2765600
2019-05-02,375.500000,377.649994,373.250000,375.799988,369.181702,2438800
2019-05-03,376.079987,377.899994,374.220001,376.459991,369.830078,2953800
2019-05-06,367.880005,372.480011,365.630005,371.600006,365.055664,4747600
2019-05-07,366.329987,367.709991,355.019989,357.230011,350.938751,9740300
