Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,1446.500000,1446.500000,1431.310059,1432.810059,1432.810059,36644500
2019-01-15,1432.849976,1445.219971,1432.130005,1445.219971,1445.219971,35723300
2019-01-16,1445.910034,1460.310059,1445.910034,1454.699951,1454.699951,38637700
2019-01-17,1453.829956,1470.839966,1448.550049,1467.250000,1467.250000,37722700
2019-01-18,1466.689941,1487.209961,1466.689941,1482.500000,1482.500000,39867300
2019-01-22,1479.819946,1479.819946,1451.010010,1457.449951,1457.449951,38980300
2019-01-23,1457.729980,1468.479980,1444.969971,1454.260010,1454.260010,33356100
2019-01-24,1454.229980,1465.339966,1453.729980,1464.410034,1464.410034,34332500
2019-01-25,1466.790039,1484.599976,1466.790039,1482.849976,1482.849976,38140800
2019-01-28,1480.280029,1480.280029,1464.770020,1473.540039,1473.540039,36128100
2019-01-29,1473.540039,1477.010010,1469.310059,1471.449951,1471.449951,35042000
2019-01-30,1473.380005,1490.510010,1467.569946,1486.939941,1486.939941,38578100
2019-01-31,1486.640015,1500.739990,1484.819946,1499.420044,1499.420044,49176500
2019-02-01,1499.530029,1504.510010,1495.469971,1502.050049,1502.050049,37592700
2019-02-04,1501.969971,1517.550049,1500.130005,1517.540039,1517.540039,33598400
2019-02-05,1517.920044,1524.209961,1512.719971,1520.229980,1520.229980,35604300
2019-02-06,1520.170044,1520.890015,1511.180054,1518.020020,1518.020020,34726900
2019-02-07,1516.699951,1516.699951,1494.369995,1505.630005,1505.630005,40994900
2019-02-08,1504.170044,1506.599976,1495.119995,1506.390015,1506.390015,36223300
2019-02-11,1506.819946,1519.209961,1505.670044,1518.979980,1518.979980,33619700
2019-02-12,1520.140015,1538.890015,1520.140015,1538.229980,1538.229980,38277700
2019-02-13,1538.290039,1545.739990,1536.250000,1542.939941,1542.939941,36707700
2019-02-14,1540.989990,1551.390015,1534.589966,1545.109985,1545.109985,38367000
2019-02-15,1547.119995,1570.160034,1547.119995,1569.250000,1569.250000,36413700
2019-02-19,1568.540039,1578.229980,1564.849976,1574.469971,1574.469971,35337100
2019-02-20,1574.550049,1583.339966,1573.959961,1581.660034,1581.660034,38354500
2019-02-21,1581.310059,1581.310059,1569.420044,1575.550049,1575.550049,35597100
2019-02-22,1576.310059,1590.099976,1576.310059,1590.060059,1590.060059,34278100
2019-02-25,1591.619995,1602.099976,1588.810059,1588.810059,1588.810059,38043800
2019-02-26,1588.560059,1589.260010,1577.430054,1577.479980,1577.479980,36456800
2019-02-27,1577.199951,1582.060059,1570.599976,1581.050049,1581.050049,37671300
2019-02-28,1580.760010,1581.989990,1571.310059,1575.550049,1575.550049,43969300
2019-03-01,1577.500000,1590.290039,1576.130005,1589.640015,1589.640015,39722800
2019-03-04,1590.150024,1594.239990,1564.479980,1575.439941,1575.439941,39198100
2019-03-05,1575.689941,1575.849976,1567.670044,1568.280029,1568.280029,35856900
2019-03-06,1568.310059,1568.439941,1536.819946,1536.819946,1536.819946,37866000
2019-03-07,1536.760010,1536.969971,1521.609985,1523.630005,1523.630005,39048600
2019-03-08,1522.530029,1523.239990,1510.650024,1521.880005,1521.880005,34231300
2019-03-11,1522.800049,1548.930054,1522.800049,1548.880005,1548.880005,37260900
2019-03-12,1549.030029,1555.300049,1545.510010,1549.829956,1549.829956,34142300
2019-03-13,1550.270020,1562.670044,1550.270020,1555.880005,1555.880005,37661500
2019-03-14,1555.869995,1555.869995,1549.209961,1549.640015,1549.640015,34697300
2019-03-15,1550.500000,1563.589966,1550.130005,1553.540039,1553.540039,59627300
2019-03-18,1553.660034,1569.060059,1552.680054,1563.930054,1563.930054,35521900
2019-03-19,1565.530029,1570.890015,1552.660034,1554.989990,1554.989990,36202200
